Hs_bin,Tp_bin,Dir16,conteo,Hs_mean,Tp_mean,Dp_mean,porcentaje
2.0–2.5,17.0–20.0,S,132,2.271060606060606,18.035,188.78787878787878,0.032981365528476414
2.0–2.5,17.0–20.0,SSO,4812,2.260074812967581,17.986832917705737,207.4129260182876,1.202320688810822
2.0–2.5,17.0–20.0,SO,8961,2.2428668675371055,18.063832161589108,220.5551835732619,2.2389849734899783
2.0–2.5,17.0–20.0,OSO,341,2.1967448680351906,17.91724340175953,244.68621700879766,0.08520186094856406
2.0–2.5,17.0–20.0,O,387,2.2139793281653746,17.717364341085272,272.11369509043925,0.09669536711757856
2.0–2.5,17.0–20.0,ONO,1492,2.143941018766756,18.00735924932976,296.8424932975871,0.3727893740036879
2.0–2.5,17.0–20.0,NO,534,2.095262172284644,18.74565543071161,304.17790262172286,0.13342461509247275
2.0–2.5,20.0–23.0,S,20,2.2635,20.981,188.55,0.004997176595223698
2.0–2.5,20.0–23.0,SSO,317,2.2247634069400632,20.897476340694006,206.198738170347,0.07920524903429563
2.0–2.5,20.0–23.0,SO,668,2.2197455089820357,21.02251497005988,219.14970059880238,0.16690569828047153
2.0–2.5,20.0–23.0,OSO,5,2.148,21.05,246.0,0.0012492941488059246
2.0–2.5,20.0–23.0,O,9,2.1855555555555557,21.08,270.44444444444446,0.0022487294678506646
2.0–2.5,20.0–23.0,ONO,124,2.135403225806452,21.194193548387098,300.1693548387097,0.03098249489038693
2.0–2.5,20.0–23.0,NO,130,2.1093846153846156,21.23623076923077,304.05384615384617,0.03248164786895404
2.0–2.5,23.0–26.0,S,9,2.221111111111111,23.565555555555555,188.44444444444446,0.0022487294678506646
2.0–2.5,23.0–26.0,SSO,12,2.1933333333333334,23.305833333333336,208.91666666666666,0.0029983059571342193
2.0–2.5,23.0–26.0,SO,27,2.171481481481482,23.524814814814814,220.7037037037037,0.006746188403551993
2.0–2.5,23.0–26.0,ONO,8,2.0725,23.3975,303.0,0.0019988706380894795
2.0–2.5,23.0–26.0,NO,4,2.1225,23.6725,304.0,0.0009994353190447398
2.0–2.5,26.0–29.0,SO,2,2.46,26.32,217.0,0.0004997176595223699
2.5–3.0,5.0–8.0,SSE,1,2.51,7.87,167.0,0.00024985882976118494
2.5–3.0,5.0–8.0,S,355,2.693380281690141,7.667183098591549,177.69014084507043,0.08869988456522065
2.5–3.0,8.0–11.0,S,3719,2.7196343102984675,9.142955095455768,182.04006453347674,0.9292249878818467
2.5–3.0,8.0–11.0,SSO,128,2.68890625,10.32625,194.9609375,0.03198193020943167
2.5–3.0,11.0–14.0,S,435,2.7231264367816093,12.088505747126437,187.48045977011495,0.10868859094611545
2.5–3.0,11.0–14.0,SSO,6046,2.6732914323519683,13.10827158451869,203.78597419781673,1.510646484736124
2.5–3.0,11.0–14.0,SO,1391,2.6491876347951115,13.302379583033789,218.45363048166786,0.3475536321978082
2.5–3.0,14.0–17.0,S,311,2.6930868167202573,15.266109324758844,189.524115755627,0.07770609605572851
2.5–3.0,14.0–17.0,SSO,24823,2.70798815614551,15.322740603472587,206.49921443822262,6.202245731161893
2.5–3.0,14.0–17.0,SO,11962,2.6825238254472494,15.514321183748537,219.33196789834477,2.9888113216032943
2.5–3.0,14.0–17.0,OSO,91,2.6416483516483513,15.97032967032967,242.4945054945055,0.02273715350826783
2.5–3.0,14.0–17.0,O,24,2.5845833333333332,16.635833333333334,266.25,0.0059966119142684385
2.5–3.0,14.0–17.0,ONO,4,2.5275,16.13,282.75,0.0009994353190447398
2.5–3.0,17.0–20.0,S,155,2.7421290322580645,17.99090322580645,189.92903225806452,0.03872811861298366
2.5–3.0,17.0–20.0,SSO,4698,2.7298275862068966,17.853263090676883,206.63537675606642,1.1738367822180469
2.5–3.0,17.0–20.0,SO,4332,2.6814796860572483,18.013250230840256,219.78739612188366,1.082388450525453
2.5–3.0,17.0–20.0,OSO,123,2.6755284552845526,17.79739837398374,245.34146341463415,0.030732636060625748
2.5–3.0,17.0–20.0,O,38,2.6742105263157896,17.921842105263156,267.60526315789474,0.009494635530925027
2.5–3.0,17.0–20.0,ONO,67,2.676268656716418,18.71223880597015,296.5820895522388,0.01674054159399939
2.5–3.0,17.0–20.0,NO,10,2.542,19.419999999999998,304.0,0.002498588297611849
2.5–3.0,20.0–23.0,S,13,2.7646153846153845,21.299230769230768,189.23076923076923,0.0032481647868954043
2.5–3.0,20.0–23.0,SSO,184,2.7444565217391306,20.839347826086957,206.28804347826087,0.045974024676058024
2.5–3.0,20.0–23.0,SO,258,2.6820542635658917,20.98313953488372,218.84883720930233,0.06446357807838571
2.5–3.0,20.0–23.0,OSO,2,2.59,20.869999999999997,241.5,0.0004997176595223699
2.5–3.0,23.0–26.0,S,1,2.53,23.26,189.0,0.00024985882976118494
2.5–3.0,23.0–26.0,SSO,10,2.7649999999999997,23.26,206.7,0.002498588297611849
2.5–3.0,23.0–26.0,SO,30,2.6373333333333333,24.057666666666666,218.6,0.007495764892835548
3.0–3.5,5.0–8.0,S,20,3.1384999999999996,7.804,176.4,0.004997176595223698
3.0–3.5,8.0–11.0,SSE,5,3.4579999999999997,8.834,166.8,0.0012492941488059246
3.0–3.5,8.0–11.0,S,1570,3.2122101910828027,9.348955414012739,181.72547770700638,0.39227836272506034
3.0–3.5,8.0–11.0,SSO,34,3.231470588235294,9.92470588235294,194.61764705882354,0.008495200211880287
3.0–3.5,11.0–14.0,S,160,3.185625,12.0705625,187.38125,0.03997741276178959
3.0–3.5,11.0–14.0,SSO,871,3.166107921928817,13.14873708381171,201.62456946039035,0.21762704072199207
3.0–3.5,11.0–14.0,SO,130,3.163076923076923,13.352692307692307,217.23076923076923,0.03248164786895404
3.0–3.5,14.0–17.0,S,70,3.218857142857143,15.296999999999999,188.92857142857142,0.017490118083282945
3.0–3.5,14.0–17.0,SSO,7705,3.1860324464633356,15.561369240752757,205.98961713173264,1.92516228330993
3.0–3.5,14.0–17.0,SO,2228,3.1779488330341112,15.60936265709156,218.5516157989228,0.55668547270792
3.0–3.5,14.0–17.0,OSO,13,3.17,16.154615384615383,238.0,0.0032481647868954043
3.0–3.5,17.0–20.0,S,12,3.0749999999999997,17.66583333333333,189.83333333333334,0.0029983059571342193
3.0–3.5,17.0–20.0,SSO,2578,3.217098525989139,17.906353762606674,206.41698991466254,0.6441360631243348
3.0–3.5,17.0–20.0,SO,1375,3.1931999999999996,17.95032727272727,218.20436363636364,0.3435558909216293
3.0–3.5,17.0–20.0,OSO,39,3.174871794871795,18.035128205128206,239.74358974358975,0.009744494360686213
3.0–3.5,17.0–20.0,O,6,3.028333333333333,17.646666666666665,270.8333333333333,0.0014991529785671096
3.0–3.5,20.0–23.0,S,3,3.206666666666667,20.84,189.0,0.0007495764892835548
3.0–3.5,20.0–23.0,SSO,141,3.1815602836879435,20.819007092198582,205.7304964539007,0.03523009499632707
3.0–3.5,20.0–23.0,SO,58,3.2091379310344825,21.13241379310345,217.89655172413794,0.014491812126148727
3.0–3.5,20.0–23.0,OSO,5,3.2340000000000004,21.19,242.0,0.0012492941488059246
3.0–3.5,23.0–26.0,SSO,8,3.1825,23.466250000000002,210.25,0.0019988706380894795
3.0–3.5,23.0–26.0,SO,5,3.042,23.37,219.8,0.0012492941488059246
3.5–4.0,8.0–11.0,SSE,4,3.5774999999999997,8.85,166.25,0.0009994353190447398
3.5–4.0,8.0–11.0,S,614,3.684527687296417,9.752214983713355,181.34364820846906,0.15341332147336756
3.5–4.0,8.0–11.0,SSO,3,3.8766666666666665,10.64,192.0,0.0007495764892835548
3.5–4.0,11.0–14.0,S,29,3.6537931034482756,11.832413793103449,184.93103448275863,0.007245906063074363
3.5–4.0,11.0–14.0,SSO,162,3.6640740740740743,13.351049382716049,201.52469135802468,0.04047713042131196
3.5–4.0,14.0–17.0,S,7,3.5100000000000002,15.358571428571427,187.57142857142858,0.0017490118083282945
3.5–4.0,14.0–17.0,SSO,1760,3.6877215909090912,15.665505681818182,205.56875,0.4397515403796855
3.5–4.0,14.0–17.0,SO,411,3.6824817518248176,16.024087591240875,217.5839416058394,0.102691979031847
3.5–4.0,17.0–20.0,S,1,3.59,19.23,191.0,0.00024985882976118494
3.5–4.0,17.0–20.0,SSO,1250,3.692128,17.895088,207.1944,0.31232353720148115
3.5–4.0,17.0–20.0,SO,317,3.6785804416403782,18.034826498422714,217.15457413249212,0.07920524903429563
3.5–4.0,20.0–23.0,SSO,42,3.714523809523809,20.82761904761905,206.07142857142858,0.010494070849969768
3.5–4.0,20.0–23.0,SO,14,3.7407142857142857,20.77785714285714,216.42857142857142,0.003498023616656589
4.0–4.5,8.0–11.0,S,64,4.1490625,9.79953125,179.890625,0.015990965104715836
4.0–4.5,11.0–14.0,S,9,4.239999999999999,11.436666666666667,179.11111111111111,0.0022487294678506646
4.0–4.5,14.0–17.0,SSO,251,4.144342629482072,15.91776892430279,203.17131474103584,0.06271456627005742
4.0–4.5,14.0–17.0,SO,1,4.03,16.95,218.0,0.00024985882976118494
4.0–4.5,17.0–20.0,SSO,288,4.138229166666666,17.882118055555555,205.72222222222223,0.07195934297122127
4.0–4.5,17.0–20.0,SO,66,4.186060606060606,18.646060606060605,216.16666666666666,0.016490682764238207
4.0–4.5,20.0–23.0,SSO,4,4.012499999999999,20.5175,211.5,0.0009994353190447398
4.0–4.5,20.0–23.0,SO,2,4.050000000000001,20.205,214.0,0.0004997176595223699
4.5–5.0,8.0–11.0,S,22,4.649545454545454,10.213181818181818,178.77272727272728,0.005496894254746068
4.5–5.0,11.0–14.0,S,7,4.727142857142858,11.327142857142857,177.85714285714286,0.0017490118083282945
4.5–5.0,14.0–17.0,SSO,33,4.6478787878787875,15.645454545454545,201.06060606060606,0.008245341382119104
4.5–5.0,17.0–20.0,SSO,67,4.621940298507463,17.769850746268656,206.98507462686567,0.01674054159399939
4.5–5.0,17.0–20.0,SO,9,4.564444444444444,18.685555555555556,218.11111111111111,0.0022487294678506646
