DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(1.5m);Dir#1(1.5m);Speed#2(2.5m);Dir#2(2.5m);Speed#3(3.5m);Dir#3(3.5m);Speed#4(4.5m);Dir#4(4.5m);Speed#5(5.5m);Dir#5(5.5m);Speed#6(6.5m);Dir#6(6.5m);Speed#7(7.5m);Dir#7(7.5m);Speed#8(8.5m);Dir#8(8.5m);Speed#9(9.5m);Dir#9(9.5m);Speed#10(10.5m);Dir#10(10.5m);Speed#11(11.5m);Dir#11(11.5m);Speed#12(12.5m);Dir#12(12.5m)
3/08/2023 16:30;11.7;326.2;-8.7;8.9;15.307;18.76;0;0;0.059;213.15;0.051;152.93;0.052;149.98;0.085;150.42;0.038;141.34;0.052;143.57;0.092;98.75;0.07;71.57;0.048;109.57;0.087;118.03;0.062;57.6;0.161;358.58
3/08/2023 16:40;11.7;326.3;-8.7;8.9;15.29;18.76;0;0;0.066;169.54;0.096;156.1;0.114;117.01;0.135;120.75;0.137;138.85;0.095;135;0.1;110.42;0.061;85.31;0.056;106.5;0.027;68.2;0.067;84.04;0.107;30.87
3/08/2023 16:50;11.7;326.2;-8.6;8.9;15.325;18.82;0;0;0.056;239.74;0.049;177.66;0.093;131.07;0.051;164.05;0.039;143.43;0.034;101.98;0.053;137.29;0.044;133.15;0.063;82.65;0.068;69.44;0.035;49.57;0.055;332.97
3/08/2023 17:00;11.7;326.2;-8.7;8.9;15.381;18.83;0;0;0.111;206.8;0.082;158.46;0.117;198.43;0.161;154.7;0.075;157.2;0.082;156.89;0.129;134.06;0.078;146.51;0.02;216.87;0.032;51.34;0.027;12.99;0.043;329.26
3/08/2023 17:10;11.7;326.3;-8.7;8.9;15.367;18.87;0;0;0.03;136.33;0.052;217.97;0.086;194.2;0.052;178.9;0.076;137.68;0.084;128.23;0.069;123.69;0.075;140.98;0.048;176.42;0.021;180;0.013;241.39;0.073;318.89
3/08/2023 17:20;11.7;326.3;-8.7;8.9;15.393;18.91;0;0;0.04;274.29;0.045;77.2;0.074;148.24;0.094;165.23;0.07;155.62;0.092;148.39;0.065;146.31;0.017;59.04;0.043;198.85;0.047;186.07;0.028;338.96;0.086;354.69
3/08/2023 17:30;11.7;326.2;-8.7;8.9;15.464;19.04;0;0;0.075;230.98;0.07;222.11;0.042;141.77;0.107;146.01;0.135;145.84;0.122;152.59;0.088;142.35;0.061;140.31;0.033;1.74;0.058;37.27;0.08;39.44;0.096;1.79
3/08/2023 17:40;11.7;326.2;-8.7;8.9;15.424;18.91;0;0;0.108;185.87;0.01;0;0.064;171.87;0.141;142.48;0.123;152.81;0.125;130.8;0.07;149.04;0.018;189.46;0.055;126.87;0.055;50.86;0.041;5.57;0.08;348.41
3/08/2023 17:50;11.7;326.3;-8.7;8.9;15.485;19.12;0;0;0.085;113.55;0.096;103.31;0.05;152.4;0.119;157.31;0.104;129.95;0.134;108.3;0.163;99.87;0.106;87.84;0.078;40.84;0.127;44.68;0.08;50.56;0.11;11
3/08/2023 18:00;11.7;326.3;-8.7;8.9;15.494;19.18;0;0;0.1;170.82;0.065;184.4;0.115;165.36;0.107;156.8;0.099;154.98;0.138;134.12;0.121;150.26;0.086;210.74;0.08;230.1;0.06;335.56;0.093;356.92;0.055;351.57
3/08/2023 18:10;11.7;326.3;-8.7;8.9;15.499;19.1;0;0;0.169;159.21;0.041;30.96;0.083;155.9;0.103;155.92;0.116;119.87;0.125;142.13;0.157;139.4;0.171;120.62;0.104;110.88;0.055;117.95;0.015;203.2;0.038;47.12
3/08/2023 18:20;11.7;326.3;-8.6;8.9;15.454;19.1;0;0;0.047;157.29;0.083;163.1;0.119;135.68;0.05;147.26;0.122;144.35;0.069;132.05;0.037;90;0.041;119.05;0.045;109.65;0.06;0;0.038;327.99;0.012;48.37
3/08/2023 18:30;11.7;326.3;-8.7;8.9;15.487;19.27;0;0;0.141;197.28;0.113;152.53;0.071;162.84;0.099;150.33;0.106;160.2;0.089;161.77;0.043;186.63;0.028;133.53;0.049;86.5;0.098;351.79;0.043;7.94;0.113;3.54
3/08/2023 18:40;11.7;326.3;-8.7;8.9;15.529;19.26;0;0;0.2;169.03;0.11;180;0.134;153.82;0.103;142.91;0.098;147.44;0.118;113.96;0.101;107.9;0.06;109.33;0.059;89.03;0.082;39.54;0.061;58.39;0.036;50.6
3/08/2023 18:50;11.7;326.3;-8.7;8.9;15.489;19.25;0;0;0.071;237.65;0.065;173.85;0.071;163.61;0.016;169.38;0.035;165.17;0.071;135.57;0.026;90;0.041;322;0.124;311.4;0.093;294.9;0.071;311.57;0.049;329.24
3/08/2023 19:00;11.7;326.3;-8.7;8.9;15.51;19.23;0;0;0.111;175.36;0.086;130.75;0.035;180;0.106;139.57;0.091;124.73;0.129;135.63;0.101;127.78;0.041;122.15;0.05;108.8;0.071;28.74;0.052;8.91;0.049;17.7
3/08/2023 19:10;11.7;326.3;-8.7;8.9;15.567;19.42;0;0;0.156;114.26;0.138;135.88;0.121;163.66;0.135;144.66;0.128;123.19;0.113;142.93;0.048;128.29;0.047;61.78;0.07;135.58;0.034;95.04;0.064;344.67;0.093;342.54
3/08/2023 19:20;11.7;326.3;-8.7;8.9;15.56;19.38;0;0;0.143;169.08;0.15;166.52;0.182;165.05;0.184;163.93;0.095;136.71;0.105;120.22;0.058;115.68;0.059;73.39;0.077;55.07;0.061;19.03;0.073;311.11;0.084;356.59
3/08/2023 19:30;11.7;326.3;-8.7;8.9;15.528;19.39;0;0;0.16;140.33;0.138;176.68;0.157;164.9;0.14;168.85;0.124;161.71;0.072;180;0.064;137.54;0.024;155.56;0.004;315;0.038;327.99;0.113;319.67;0.04;319.09
3/08/2023 19:40;11.7;326.3;-8.7;8.9;15.484;19.35;0;0;0.055;187.25;0.032;155.85;0.061;152.59;0.096;142.18;0.113;181.01;0.131;181.31;0.112;164.97;0.043;183.99;0.033;324.87;0.006;141.34;0.022;180;0.065;357.36
3/08/2023 19:50;11.7;326.3;-8.7;8.9;15.498;19.36;0;0;0.064;176.42;0.126;180;0.083;165.29;0.105;177.27;0.132;138.69;0.153;142.68;0.106;154.89;0.066;158.84;0.045;152.3;0.076;168.54;0.047;170.13;0.05;126.87
3/08/2023 20:00;11.7;326.3;-8.6;8.9;15.465;19.36;0;0;0.055;156.25;0.081;136.49;0.113;147.3;0.074;147.17;0.1;153.95;0.144;166.74;0.079;166.14;0.018;186.34;0.01;106.7;0.03;346.43;0.083;340.25;0.066;351.25
